plant,nom d'équipement,ID Technique,Process,nom master data,emplacement ,Immo Number,numéro de série,"année 
(plaque signalitique)",commersialisation d'équipement ,commersialisation PDR ,age ,D(degradabilite ,HP ( heure de production ),HP coef,P pdr ( piece de rechange),"MT (deux facteur mttr et mtbf ) mttr : main time to repair , mtbf : main time between failure",T (technologie ,"Aging 
Result","Equipment
Staus",Physical status
LTN3B,ulmer SM 15,ET00000286,Cutting Machine Tube,Ulmer--SM 15/2P,coupe,,9063,2008,OUI,OUI,17,0.7,5883,1,0,0,0,0.52,Moyen,Moyen
LTN3B,alpha 355,ET00000198,Cutting Machine Wire < 6mm2,Komax--Alpha 355,coupe,4141150502,2622,2015,NON,OUI,8,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,2141230701,1978,2011,NON,OUI,14,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,HSGM,ET00000183,Cutting Machine Hot,HSGM--HSG-G2S,coupe,2141050303,205112,2005,OUI,OUI,20,0.7,5883,1,0,0,0,0.52,Moyen,Besoin Upgrade
LTN3B,HSGM,ET00000183,Cutting Machine Hot,HSGM--HSG-G2S,coupe,2141200801,620275,2020,OUI,OUI,5,0,5883,1,0,0,0,0.1,Excellent,Excellent
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141110304,771,2011,NON,OUI,14,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141150601,2620,2015,NON,OUI,10,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141081102,875,2011,NON,OUI,14,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141110302,772,2011,NON,OUI,14,0.4,5883,1,0,0,1,0.39,Bon,Bon
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141120211,1128,2012,NON,OUI,13,0.4,5883,1,0,0,1,0.39,Bon,Bon
